SOB_ID;as_code;ring
SOB_20251217T163546138062Z_SGVGAWRLQRE4;TGB101_10mX4196610000Y2989080000Z0;0
SOB_20251217T163546138570Z_RICIOOM7DBBX;TGB101_10mX4197470000Y2988800000Z0;0
SOB_20251217T163546138841Z_UC64XLFVJVCZ;TGB101_10mX4196270000Y2989450000Z0;0
SOB_20251217T163546139045Z_YKVUDV2E75EU;TGB101_10mX4196540000Y2989430000Z0;0
SOB_20251217T163546139217Z_GIDFBGU7UBAF;TGB101_10mX4196770000Y2988540000Z0;0
SOB_20251217T163546139377Z_2IVNSUQTIFA6;TGB101_10mX4197530000Y2988360000Z0;0
SOB_20251217T163546139528Z_YK43ZTRGW5FJ;TGB101_10mX4195720000Y2991080000Z0;0
SOB_20251217T163546139688Z_C2J5CW7S3RFY;TGB101_10mX4196240000Y2990290000Z0;0
SOB_20251217T163546139841Z_7FQEYI6LQFF2;TGB101_10mX4197330000Y2988570000Z0;0
SOB_20251217T163546139994Z_DZRYB7AD3JHA;TGB101_10mX4199490000Y2989060000Z0;0
SOB_20251217T163546140149Z_NQ733A4RGZEX;TGB101_10mX4191850000Y2978970000Z0;0
SOB_20251217T163546140301Z_2Z3JE2MHPJCX;TGB101_10mX4196440000Y2990290000Z0;0
SOB_20251217T163546140501Z_ESEONTNU5VAI;TGB101_10mX4197620000Y2987520000Z0;0
SOB_20251217T163546140711Z_7XYTJMEAXFDG;TGB101_10mX4196640000Y2988930000Z0;0
SOB_20251217T163546140963Z_SHAVY2PVTZFG;TGB101_10mX4198730000Y2986540000Z0;0
SOB_20251217T163546141206Z_CZ4GUDS7CJDT;TGB101_10mX4196730000Y2987760000Z0;0
SOB_20251217T163546141434Z_H6RBAQOTCNBN;TGB101_10mX4197910000Y2988090000Z0;0
SOB_20251217T163546141621Z_OHDJEFNPSVHE;TGB101_10mX4197550000Y2988440000Z0;0
SOB_20251217T163546141776Z_5LTT5ZV4FZAE;TGB101_10mX4197250000Y2988470000Z0;0
SOB_20251217T163546141926Z_OC4CEHDWR5FV;TGB101_10mX4197010000Y2988840000Z0;0
SOB_20251217T163546142085Z_3Y45GBB3WRAG;TGB101_10mX4199330000Y2988970000Z0;0
SOB_20251217T163546142236Z_YMLJUG4IM5AC;TGB101_10mX4197670000Y2988360000Z0;0
SOB_20251217T163546142380Z_BNUXKQSC2FE7;TGB101_10mX4196270000Y2989520000Z0;0
SOB_20251217T163546142529Z_SQAUU54WKBCQ;TGB101_10mX4196120000Y2988950000Z0;0
SOB_20251217T163546142679Z_J4QDUGYXFNBI;TGB101_10mX4196060000Y2989650000Z0;0
SOB_20251217T163546142823Z_TMHFK5ZESBHZ;TGB101_10mX4194720000Y2990830000Z0;0
SOB_20251217T163546142986Z_MU5ENCSWFFBQ;TGB101_10mX4196170000Y2989600000Z0;0
SOB_20251217T163546143139Z_O56T45AOOFDE;TGB101_10mX4195280000Y2988680000Z0;0
SOB_20251217T163546143295Z_QROICQKS65BY;TGB101_10mX4196370000Y2989180000Z0;0
SOB_20251217T163546143455Z_NWFWLI5TJ5FI;TGB101_10mX4196510000Y2989120000Z0;0
SOB_20251217T163546143606Z_PRJ5OVRZSNDH;TGB101_10mX4197130000Y2988880000Z0;0
SOB_20251217T163546143898Z_UWSQ3WYOLNAR;TGB101_10mX4195220000Y2988390000Z0;0
SOB_20251217T163546144144Z_4SXVKSA24BFN;TGB101_10mX4196850000Y2990030000Z0;0
SOB_20251217T163546144347Z_W5TRO7T5SJF3;TGB101_10mX4190570000Y2988090000Z0;0
SOB_20251217T163546144535Z_I3NVPLX4IVAH;TGB101_10mX4196870000Y2989430000Z0;0
SOB_20251217T163546144714Z_7YGSLAQ44BB3;TGB101_10mX4196630000Y2989220000Z0;0
SOB_20251217T163546144915Z_P6FFDFT65NGD;TGB101_10mX4197540000Y2988310000Z0;0
SOB_20251217T163546145102Z_OAR2KKROPJB6;TGB101_10mX4196260000Y2989220000Z0;0
SOB_20251217T163546145271Z_XEHPBYJJERAK;TGB101_10mX4195910000Y2989080000Z0;0
SOB_20251217T163546145438Z_QNAT3ZEYSVER;TGB101_10mX4190190000Y2987300000Z0;0
SOB_20251217T163546145598Z_WQHSVWEGTRC2;TGB101_10mX4197530000Y2986460000Z0;0
SOB_20251217T163546145747Z_IS47NIEHT5HL;TGB101_10mX4197740000Y2987700000Z0;0
SOB_20251217T163546145903Z_L6VZGF3BQVD3;TGB101_10mX4195270000Y2986540000Z0;0
SOB_20251217T163546146053Z_Q3KRMGLCFJCM;TGB101_10mX4194940000Y2990700000Z0;0
SOB_20251217T163546146204Z_IXI2FI2OF5EF;TGB101_10mX4194730000Y2988530000Z0;0
SOB_20251217T163546146350Z_JIJCKTKWMJHI;TGB101_10mX4195990000Y2985210000Z0;0
SOB_20251217T163546146500Z_7QRQYMTZT5FN;TGB101_10mX4190130000Y2988430000Z0;0
SOB_20251217T163546146656Z_YT3NCF77JZDH;TGB101_10mX4196290000Y2999770000Z0;0
SOB_20251217T163546146805Z_MFSF3ZGGQND2;TGB101_10mX4170450000Y2985730000Z0;0
SOB_20251217T163546146953Z_D2TRMSI3VNC2;TGB101_10mX4198390000Y2986710000Z0;0
SOB_20251217T163546147081Z_QPZQ6K2M2NEA;TGB101_10mX4196830000Y2988840000Z0;0
SOB_20251217T163546147208Z_MTDBKQZN7NDT;TGB101_10mX4196390000Y2984710000Z0;0
SOB_20251217T163546147339Z_R57Z3QQ4A5CW;TGB101_10mX4197620000Y2984890000Z0;0
SOB_20251217T163546147466Z_LLO4SXXJK5DX;TGB101_10mX4148050000Y3029940000Z0;0
SOB_20251217T163546147588Z_4FQTDD6HBBEP;TGB101_10mX4201910000Y2979690000Z0;0
SOB_20251217T163546147709Z_KSWRSJTA5JDP;TGB101_10mX4199950000Y2984580000Z0;0
SOB_20251217T163546147840Z_TPW4FUTG7JED;TGB101_10mX4196780000Y2987130000Z0;0
SOB_20251217T163546147963Z_FMD6LBEK4NBD;TGB101_10mX4194160000Y2988650000Z0;0
SOB_20251217T163546148093Z_PXK332BWIBCM;TGB101_10mX4195720000Y2987560000Z0;0
SOB_20251217T163546148220Z_YG4PWL6PEVAP;TGB101_10mX4193950000Y2985360000Z0;0
SOB_20251217T163546148343Z_HTDVFK533ZHQ;TGB101_10mX4192940000Y2990030000Z0;0
SOB_20251217T163546148465Z_VCC2PZWPR5GI;TGB101_10mX4196910000Y2978420000Z0;0
SOB_20251217T163546148586Z_RQEGFV7OI5E4;TGB101_10mX4196380000Y2989470000Z0;0
SOB_20251217T163546148713Z_XYI2H5YQAJD5;TGB101_10mX4196450000Y2989920000Z0;0
SOB_20251217T163546148829Z_U5BWFLAKQJDG;TGB101_10mX4199510000Y2981140000Z0;0
SOB_20251217T163546148962Z_KD57CDIDZRB7;TGB101_10mX4196840000Y2985260000Z0;0
SOB_20251217T163546149083Z_X5SGXQHG6RDF;TGB101_10mX4194860000Y2987410000Z0;0
SOB_20251217T163546149200Z_HMT5EU7KS5CM;TGB101_10mX4194960000Y2991190000Z0;0
SOB_20251217T163546149327Z_OIHOBILDRZAH;TGB101_10mX4194920000Y2989960000Z0;0
SOB_20251217T163546149447Z_MFTMFZX6XZFK;TGB101_10mX4196870000Y2988890000Z0;0
SOB_20251217T163546149564Z_IALECBGIWNF6;TGB101_10mX4196510000Y2989000000Z0;0
SOB_20251217T163546149683Z_Y5LBIL5JOVBP;TGB101_10mX4197540000Y2988210000Z0;0
SOB_20251217T163546149812Z_3VL77AJNBNEW;TGB101_10mX4196960000Y2989310000Z0;0
SOB_20251217T163546149929Z_ZVRCAH5RDFD6;TGB101_10mX4197270000Y2989270000Z0;0
SOB_20251217T163546150051Z_RXG6M43W6RFB;TGB101_10mX4197500000Y2988300000Z0;0
SOB_20251217T163546150171Z_V6RXUJ2SGBFC;TGB101_10mX4196320000Y2990270000Z0;0
SOB_20251217T163546150288Z_BKP3TCM375CY;TGB101_10mX4195340000Y2990390000Z0;0
SOB_20251217T163546150414Z_VMX6O3SHFNFB;TGB101_10mX4186360000Y2980060000Z0;0
SOB_20251217T163546150537Z_IZWBEZXNNNFN;TGB101_10mX4192450000Y2988930000Z0;0
SOB_20251217T163546150660Z_P3TJH4DX2JC5;TGB101_10mX4192250000Y2989160000Z0;0
SOB_20251217T163546150778Z_Z7RYOJYJWVBI;TGB101_10mX4194590000Y2988660000Z0;0
SOB_20251217T163546150895Z_FUOKMVZQVFAW;TGB101_10mX4194610000Y2988620000Z0;0
SOB_20251217T163546151016Z_GJTF4SI4FREE;TGB101_10mX4198380000Y2986320000Z0;0
SOB_20251217T163546151134Z_EH4IX32EH5BL;TGB101_10mX4194010000Y2990090000Z0;0
SOB_20251217T163546151261Z_27ENV442WBGQ;TGB101_10mX4194020000Y2990130000Z0;0
SOB_20251217T163546151389Z_XYYNDNOSIZHV;TGB101_10mX4198750000Y2989870000Z0;0
SOB_20251217T163546151576Z_WP6NTW7UF5DP;TGB101_10mX4190330000Y2988230000Z0;0
SOB_20251217T163546151784Z_X4WW47UKPRHD;TGB101_10mX4201030000Y2979720000Z0;0
SOB_20251217T163546151950Z_OTHBRIYYUFGR;TGB101_10mX4196210000Y2997210000Z0;0
SOB_20251217T163546152079Z_TVUYM6WJLFDC;TGB101_10mX4198770000Y2989910000Z0;0
SOB_20251217T163546152225Z_3VCPKEUY5NAN;TGB101_10mX4195740000Y2987710000Z0;0
SOB_20251217T163546152422Z_SVUMX7ILNRDI;TGB101_10mX4195130000Y2986610000Z0;0
SOB_20251217T163546152554Z_KTF5HV5KIVGP;TGB101_10mX4195370000Y2987140000Z0;0
SOB_20251217T163546152682Z_WDMC4YN3LBEU;TGB101_10mX4181180000Y2968030000Z0;0
SOB_20251217T163546152820Z_FPU3CSBWOBF3;TGB101_10mX4195290000Y2988800000Z0;0
SOB_20251217T163546153020Z_FXOT4ULCZFEQ;TGB101_10mX4194510000Y2988540000Z0;0
SOB_20251217T163546153185Z_3BXWYETABVCY;TGB101_10mX4194650000Y2991510000Z0;0
SOB_20251217T163546153324Z_UHBKSP4QTVDQ;TGB101_10mX4185670000Y2988790000Z0;0
SOB_20251217T163546153459Z_5PN2WX3OE5BU;TGB101_10mX4199330000Y2989010000Z0;0
SOB_20251217T163546153584Z_PC4XAPAHHFE7;TGB101_10mX4194440000Y2989170000Z0;0
SOB_20251217T163546153722Z_LGFA3KSZ5BGF;TGB101_10mX4193180000Y2988720000Z0;0
SOB_20251217T163546153865Z_MQJH6LRTSJDH;TGB101_10mX4192020000Y2988970000Z0;0
SOB_20251217T163546153993Z_D7MAPEVP65DQ;TGB101_10mX4191680000Y2986440000Z0;0
SOB_20251217T163546154119Z_2X7DSLWB6FCY;TGB101_10mX4195070000Y2986930000Z0;0
SOB_20251217T163546154258Z_FE4IX2KOGRBV;TGB101_10mX4194820000Y2979380000Z0;0
SOB_20251217T163546154389Z_YANIXUJ2ABHS;TGB101_10mX4194850000Y2987120000Z0;0
SOB_20251217T163546154517Z_CN4BLZDCCZFH;TGB101_10mX4196890000Y2989810000Z0;0
SOB_20251217T163546154643Z_OFJFZCNMYJCH;TGB101_10mX4199790000Y2980850000Z0;0
SOB_20251217T163546154766Z_CGIIC5VR6RBH;TGB101_10mX4195130000Y2990200000Z0;0
SOB_20251217T163546154894Z_JAMSHDB54ZGZ;TGB101_10mX4197460000Y2988920000Z0;0
SOB_20251217T163546155029Z_PSA7CXKQXBBQ;TGB101_10mX4197290000Y2988560000Z0;0
SOB_20251217T163546155155Z_KAAKVMLJZZC7;TGB101_10mX4195050000Y2979430000Z0;0
SOB_20251217T163546155282Z_RDCJVWC3YRBB;TGB101_10mX4196500000Y2988770000Z0;0
SOB_20251217T163546155410Z_QMCHU2P7TJBQ;TGB101_10mX4199290000Y2987010000Z0;0
SOB_20251217T163546155575Z_BB7KBXPXY5DF;TGB101_10mX4197420000Y2988430000Z0;0
SOB_20251217T163546155699Z_YQ7MDVUPFJA7;TGB101_10mX4197080000Y2989100000Z0;0
SOB_20251217T163546155832Z_CXNLJR4IOJGH;TGB101_10mX4194220000Y2999220000Z0;0
SOB_20251217T163546155959Z_UVKWHX2YZFFB;TGB101_10mX4196800000Y2989610000Z0;0
SOB_20251217T163546156082Z_UP23CXI5DVE4;TGB101_10mX4195560000Y2990440000Z0;0
SOB_20251217T163546156210Z_J6LH3GNSYNFE;TGB101_10mX4196090000Y2989600000Z0;0
SOB_20251217T163546156339Z_NYJ6EA66GJGW;TGB101_10mX4196560000Y2989130000Z0;0
SOB_20251217T163546156472Z_UYTYA3EB6NDM;TGB101_10mX4198940000Y2987390000Z0;0
SOB_20251217T163546156600Z_FPERLN3WXFFN;TGB101_10mX4196440000Y2990290000Z0;0
SOB_20251217T163546156729Z_FSYOGKZBMVE5;TGB101_10mX4196910000Y2988790000Z0;0
SOB_20251217T163546156852Z_KTYCZY5JP5ER;TGB101_10mX4197310000Y2988460000Z0;0
SOB_20251217T163546156974Z_Q5JDCNOBWFGI;TGB101_10mX4196180000Y2989230000Z0;0
SOB_20251217T163546157110Z_GH37JAA26ZCE;TGB101_10mX4196550000Y2988880000Z0;0
SOB_20251217T163546157233Z_GQY3BVQH4RD4;TGB101_10mX4196480000Y2989330000Z0;0
SOB_20251217T163546157362Z_RGMJHDY62NFI;TGB101_10mX4195100000Y2997980000Z0;0
SOB_20251217T163546157518Z_SYCHMB3ZBVBQ;TGB101_10mX4171270000Y2984260000Z0;0
SOB_20251217T163546157639Z_IKO3CRKCSVEW;TGB101_10mX4195270000Y2986820000Z0;0
SOB_20251217T163546157765Z_4LV5SLXTVJF5;TGB101_10mX4192470000Y2989030000Z0;0
SOB_20251217T163546157890Z_MDJW6LOP5VHT;TGB101_10mX4190250000Y2987970000Z0;0
SOB_20251217T163546158010Z_F73H7O6PRFGW;TGB101_10mX4190430000Y2987350000Z0;0
SOB_20251217T163546158129Z_DQKHPIO2A5H6;TGB101_10mX4190740000Y2988460000Z0;0
SOB_20251217T163546158253Z_OOE3PR7THRHJ;TGB101_10mX4189530000Y2987260000Z0;0
SOB_20251217T163546158381Z_KXZCVXXSD5HD;TGB101_10mX4192430000Y2989050000Z0;0
SOB_20251217T163546158512Z_MZ7YVGIVO5FL;TGB101_10mX4197340000Y2979400000Z0;0
SOB_20251217T163546158631Z_7FBUQ3OBUZF7;TGB101_10mX4199710000Y2989030000Z0;0
SOB_20251217T163546158755Z_J2PWSIKYJ5EF;TGB101_10mX4197460000Y2984900000Z0;0
SOB_20251217T163546158875Z_KTPCFC2ASNB2;TGB101_10mX4196720000Y2989440000Z0;0
SOB_20251217T163546159006Z_ECELQ2PGYFGC;TGB101_10mX4196890000Y2988690000Z0;0
SOB_20251217T163546159134Z_Q5V55UFFGVGS;TGB101_10mX4197250000Y2989020000Z0;0
SOB_20251217T163546159252Z_XEXWS3TPLBGQ;TGB101_10mX4197720000Y2988430000Z0;0
SOB_20251217T163546159372Z_KL4VBKQGINBA;TGB101_10mX4197420000Y2988480000Z0;0
SOB_20251217T163546159496Z_ODOSGEG4XFAY;TGB101_10mX4197590000Y2988440000Z0;0
SOB_20251217T163546159621Z_OK7ZULM5HZEL;TGB101_10mX4194010000Y2992030000Z0;0
SOB_20251217T163546159748Z_P5VDSZWUAND4;TGB101_10mX4195060000Y2990320000Z0;0
SOB_20251217T163546159877Z_ID47OO4225GW;TGB101_10mX4190630000Y2988330000Z0;0
SOB_20251217T163546160022Z_N3S3WAT2RVHO;TGB101_10mX4194490000Y2991390000Z0;0
SOB_20251217T163546160166Z_MCSFOAHPGNDP;TGB101_10mX4196190000Y2989670000Z0;0
SOB_20251217T163546160300Z_A5EPR2SGDBGD;TGB101_10mX4192570000Y2989360000Z0;0
SOB_20251217T163546160436Z_T7PM64EI7ZGM;TGB101_10mX4197520000Y3001550000Z0;0
SOB_20251217T163546160585Z_XJB5Q4IHYNBC;TGB101_10mX4196810000Y2989960000Z0;0
SOB_20251217T163546161071Z_WX66G6IY2ZA6;TGB101_10mX4190530000Y2987930000Z0;0
SOB_20251217T163546161470Z_AGOVER6GBNG5;TGB101_10mX4196480000Y2989330000Z0;0
SOB_20251217T163546161924Z_RBJ5BFPXDFDK;TGB101_10mX4196510000Y2989710000Z0;0
SOB_20251217T163546162185Z_CRIEN75U65DD;TGB101_10mX4196010000Y2989650000Z0;0
SOB_20251217T163546162396Z_3WZMRXH7JVH2;TGB101_10mX4195310000Y2990520000Z0;0
SOB_20251217T163546162583Z_75FMJMWCAFA2;TGB101_10mX4190710000Y2988440000Z0;0
SOB_20251217T163546162773Z_D6HPPGD7VJFV;TGB101_10mX4196380000Y2989120000Z0;0
SOB_20251217T163546162960Z_DNAOIKZSXNDK;TGB101_10mX4193530000Y2991480000Z0;0
SOB_20251217T163546163147Z_QJ3GJE4O7NF2;TGB101_10mX4194040000Y2985550000Z0;0
SOB_20251217T163546163337Z_WM7LF34OH5CQ;TGB101_10mX4209860000Y2987770000Z0;0
SOB_20251217T163546163555Z_JKMSTPNL2VEZ;TGB101_10mX4193450000Y2991950000Z0;0
SOB_20251217T163546163771Z_CVGLYAN64RAB;TGB101_10mX4196680000Y2983870000Z0;0
SOB_20251217T163546163969Z_STQAG5BMINDI;TGB101_10mX4194710000Y2987390000Z0;0
SOB_20251217T163546164160Z_OGAWLLHWTRE7;TGB101_10mX4194500000Y2986350000Z0;0
SOB_20251217T163546164342Z_U363K2UO4RDH;TGB101_10mX4197500000Y2984920000Z0;0
SOB_20251217T163546164538Z_CX2NOI3AN5BZ;TGB101_10mX4199890000Y2984620000Z0;0
SOB_20251217T163546164725Z_TRGDKB6OSNHJ;TGB101_10mX4181320000Y2986530000Z0;0
SOB_20251217T163546164906Z_GFT367RYABA7;TGB101_10mX4195910000Y2989200000Z0;0
SOB_20251217T163546165060Z_VBVVRU2XKBGC;TGB101_10mX4194350000Y2989100000Z0;0
SOB_20251217T163546165236Z_3HXU7FGKVJAF;TGB101_10mX4196720000Y2989040000Z0;0
SOB_20251217T163546165390Z_L2QVQH5Q2BGR;TGB101_10mX4193370000Y2989720000Z0;0
SOB_20251217T163546165535Z_NV2EC7TJVFG7;TGB101_10mX4196500000Y2989950000Z0;0
SOB_20251217T163546165678Z_OS3CWSHMKBCB;TGB101_10mX4196090000Y2990280000Z0;0
SOB_20251217T163546165825Z_ESZ65NZEUBH7;TGB101_10mX4195930000Y2989730000Z0;0
SOB_20251217T163546165968Z_CDOC6J6MJVHD;TGB101_10mX4196230000Y2989480000Z0;0
SOB_20251217T163546166122Z_3MACKYBYYRBX;TGB101_10mX4196410000Y2989260000Z0;0
SOB_20251217T163546166267Z_7J2ESWYBPNBM;TGB101_10mX4196810000Y2990000000Z0;0
SOB_20251217T163546166409Z_BGZZHPPA4VG4;TGB101_10mX4197120000Y2989030000Z0;0
SOB_20251217T163546166606Z_JTIYI5ILSNFZ;TGB101_10mX4195060000Y2985670000Z0;0
